MONTH,GOMBE,BENIN,ABA,CALABAR,UYO,MINNA,OSHOGBO,JOS,YOLA,LAGOS,MAIDUGURI,IBADAN
Jan-19,0,300000,5000000,1000000,1228500,2240000,1185100,1966950,1444425,1512000,8180000,39270975
Feb-19,0,693000,450200,2379900,500000,1920000,476400,625850,186700,582000,2525000,19873450
Mar-19,801900,578600,4143000,300000,794500,2020000,481000,445000,223500,767000,3100000,24616700
Apr-19,595000,85000,2541500,0,102500,220000,341400,0,0,340000,860000,19144400
May-19,337000,131000,991000,0,0,400000,0,0,0,290000,400000,2612000
Jun-19,50000,100500,163000,0,5987100,0,1084000,0,0,205000,248100,10161920
Jul-19,0,1901500,4759000,3706500,1577200,280173,1344000,625850,0,1448625,2314100,31906240
Aug-19,909800,1121000,2959500,3801250,5511000,550000,591450,1467265,454000,650000,1510000,27066735
Sep-19,909500,1026000,2248583,1730300,1979150,820000,292500,658100,400000,797750,1343500,19141300
Oct-19,2372500,1123000,3795000,2604308,3212500,390000,103000,747950,695000,1205750,2948000,22674400
Nov-19,759100,1928500,3068000,1904500,3019500,1346000,110000,1576620,200000,601000,2115000,23537920
Dec-19,272500,2387650,578100,1050000,6488000,680000,120000,1191400,445000,1118000,2390000,20387300
Jan-18,200000,2088850,6598500,2065000,4487600,0,0,0,0,30000,0,14337580
Feb-18,2355650,1679000,3898850,1450000,2235100,0,53000,0,0,37000,0,9713100
Mar-18,2832050,3555000,4113500,4220100,4878000,0,0,0,0,86000,0,10366205
Apr-18,7455700,4259800,4541000,5303000,4196500,0,474500,0,0,0,0,19559000
May-18,2391300,3176200,3005850,850000,2636500,0,524500,0,0,0,0,6796540
Jun-18,237800,2122700,3617500,110000,3280000,2126000,436000,0,0,0,0,4953150
Jul-18,972100,2441000,4012500,2905400,6606000,3199000,455000,0,0,0,0,5267350
Aug-18,1115600,1081100,7180200,1875300,3598000,3544000,660500,411000,670000,0,0,8751300
Sep-18,2231350,1534300,2620500,3661250,4899300,3580000,255000,217150,1283050,0,0,5559850
Oct-18,119550,984000,4633500,1787400,5558200,2130000,476500,745300,1110888,1909000,4280000,17165450
Nov-18,2333250,3649300,1687500,3329750,4587700,3989300,1333700,846350,3365612,1709200,8180000,5563900
Dec-18,1941250,1902000,3180000,5382000,5897000,4307000,1049500,1303900,2742904,715000,2800000,3740750
Jan-17,0,0,6074500,3770000,0,0,39000,0,0,0,0,2596620
Feb-17,2311000,0,5369350,2691700,0,0,0,0,0,0,0,5381250
Mar-17,4624000,0,6672950,1645000,1100050,0,0,0,0,0,0,6408350
Apr-17,1183000,0,4716850,5368200,1148000,0,240450,0,0,0,0,4184250
May-17,6066450,0,3725500,6848500,2100300,0,1997000,0,0,65000,0,6603150
Jun-17,4496950,0,5411300,2603500,2100000,0,2336850,0,0,0,0,6336950
Jul-17,2442150,0,2405700,2185500,1154000,0,2530600,0,0,0,0,4152700
Aug-17,4304150,0,2321600,700000,2972100,0,1242100,0,0,330000,0,2771355
Sep-17,787950,0,6672150,1579750,1057500,0,1787750,0,0,0,0,10029750
Oct-17,3307050,0,4250850,1050000,3773000,0,1034500,0,0,147000,0,5358415
Nov-17,4427900,720500,6589000,3226110,2569000,0,544000,0,0,0,0,9066000
Dec-17,1151000,120000,4894850,4429700,1971500,0,284000,0,0,30000,0,5699000
Oct-16,0,0,0,0,0,0,0,0,0,0,0,1286400
Nov-16,0,0,0,0,0,0,408180,0,0,0,0,11017060
Dec-16,0,0,5479450,1500000,0,0,71000,0,0,0,0,15959370
