balance,debit,credit
207200.00,207200.00,0.00
414200.00,207200.00,0.00
355200.00,0.00,59200.00
118400.00,0.00,236800.00
219600.00,101200.00,0.00
347600.00,12800.00,0.00
322000.00,0.00,25600.00
469400.00,147400.00,0.00
328900.00,0.00,140500.00
398300.00,69400.00,0.00
265000.00,0.00,133000.00
490650.00,225350.00,0.00
290750.00,0.00,199900.00
458800.00,168050.00,0.00
332300.00,0.00,126500.00
502500.00,170200.00,0.00
474600.00,0.00,27900.00
563000.00,88400.00,0.00
524600.00,0.00,38400.00
679200.00,154600.00,0.00
247200.00,0.00,432000.00
651100.00,403900.00,0.00
727900.00,76800.00,0.00
791900.00,64000.00,0.00
530920.00,,260980.00
850920.00,320000.00,0.00
1310220.00,459300.00,0.00
762410.00,0.00,547810.00
663410.00,0.00,99000.00
651360.00,0.00,12050.00
210630.00,0.00,440730.00
557330.00,346700.00,0.00
604930.00,47600.00,0.00
529730.00,0.00,75200.00
701830.00,172100.00,0.00
583580.00,0.00,118250.00
404200.00,0.00,179300.00
486300.00,82100.00,0.00
416300.00,0.00,70000.00
364070.00,0.00,52230.00
329370.00,0.00,34700.00
637570.00,308200.00,0.00
601820.00,0.00,35750.00
467720.00,0.00,134100.00
528120.00,60400.00,0.00
281670.00,0.00,139350.00
253770.00,0.00,27900.00
317770.00,64000.00,0.00
2700620.00,0.00,47150.00
